Year,country,Access to electricity,Adult prevalence of HIV-AIDS,Agriculture Stress Index Probability,Average dietary supply adequacy,Conflict Barometer National Power,Conflict Barometer Subnational,Corruption Perception Index,Domestic Food Price Level Index,Domestic Food Price Volatility Index ,Estimated HDI from GDP per capita,FTS / Capita,FTS Current year,FTS last 3 years,FTS last year,FTS two years ago,Frequency of Droughts events,GDP per capita,Gender Inequality Index,Government Effectiveness,Health expenditure per capita,Highly Violent Conflict Probability,Human Develpment Index,Hyogo Framework for Action,Improved sanitation facilities,Improved water source,Income Gini coefficient,Internal Displaced People IDP,Internet users,Land area (sq. km),"Literacy rate, adult total",Malaria death rate,Maternal Mortality Ratio,Measles immunization coverage,Mobile cellular subscriptions,Multidimensional Poverty Index,Natural Disasters current year,Natural Disasters last year,Natural Disasters two years ago,Net ODA received (% of GNI),ODA + FTS / Capita,ODA / Capita,People affected by drought (absolute) - raw,People affected by droughts (relative) - raw,Physical exposure to earthquake MMI VI (absolute) - raw,Physical exposure to earthquake MMI VI (relative) - raw,Physical exposure to earthquake MMI VIII (absolute) - raw,Physical exposure to earthquake MMI VIII (relative) - raw,Physical exposure to flood (absolute) - raw,Physical exposure to flood (relative) - raw,Physical exposure to storm surge (absolute) - raw,Physical exposure to surge from tropical cyclone of Saffir-Simpson category 1 (relative) - raw,Physical exposure to tropical cyclone of Saffir-Simpson category 1 (absolute) - raw,Physical exposure to tropical cyclone of Saffir-Simpson category 1 (relative) - raw,Physical exposure to tropical cyclone of Saffir-Simpson category 3 (absolute) - raw,Physical exposure to tropical cyclone of Saffir-Simpson category 3 (relative) - raw,Physical exposure to tsunami (absolute) - raw,Physical exposure to tsunami (relative) - raw,Physicians density,Population (total),Prevalence of undernourishment,Refugees (UNHCR),Refugees (UNRWA),Returned Refugees,Road density,Total ODA,Total ODA in %YEARREF|-2%,Total ODA in %YEARREF|-3%,Total Persons of Concern (absolute),Total Persons of Concern (relative),Total affected by Natural Disasters last 3 years,Total affected by Natural Disasters last 3 years (% of total pop),Total refugees,Tuberculosis Prevalence,U5M,U5UW,Violent Conflict Probability
2010,Afghanistan,-1.2140593421229857,-0.3867873790329431,1.0443319758225582,-0.7821441921050967,3.0266033819294518,-0.6347253740010322,-1.0873551638015861,-0.16851136453317395,-0.20502943510505983,-1.6756977146541832,0.4792011638893341,2.2524293895151044,1.5482910471337414,1.9252367935641896,-0.10488311448030128,0.39284325068608805,-0.8266444879527461,2.1024947693199922,-1.4143525403052228,-0.701168711282853,0.23724787430638125,-1.6483159991163723,0.052009273970178085,-1.5041998343307603,-2.753780130249129,-1.4454801173670033,0.008002376979357385,-1.2711394535985323,-0.014965286162912825,0.38519169001845194,-0.5091019473962969,2.016547285565174,-2.103817138132202,-1.5552791401496961,-0.18903423961680135,-0.028392127010488315,-0.050686138453581504,-0.1075491146737522,4.441440248721692,0.19669296521426616,0.1425492472089139,-0.053230586106707875,0.07787005260661752,0.3315855892446236,1.3925576577390042,0.6442052144750193,0.9200921539544616,0.017971662048068666,0.7120686186838195,-0.19176961672706969,-0.24594269421759252,-0.15763401273169303,-0.4840273763974296,-0.1424412626011031,-0.3108522509416337,-0.1559790511291638,-0.342390272624723,-0.9913557464037307,-0.05935427604582236,0.9752596077579886,-0.3119410173933603,-0.020021931044574427,15.38310701984555,-0.6035275028738848,3.6131779586739565,2.8019261875923664,4.244509658381258,0.3542925481005558,0.07679477129804649,-0.02902936092660385,-0.06452442493013164,-0.29024196242188444,0.3565962659033336,1.7572031035799467,2.2600982610417257,0.199771524574262
2010,Albania,0.6908727446004189,-0.3867873790329431,0.8147952584668475,0.1503441528304783,-0.5404782295016558,-0.6347253740010322,-1.0060869232623015,0.7893263074048561,0.2656888368526266,-0.09754716812134552,-0.25702241733986064,-0.2820502679264013,-0.30436143293843626,-0.26753368006233347,-0.2768464974751774,-0.42507823232480035,-0.46190151516400346,-0.3491108226946139,-0.26275281825284874,-0.4783915850299988,-0.006503219631008452,0.21440470171612236,0.052009273970178085,0.6190386692066838,0.5430617056656272,-1.1656542659727018,-0.18741257540547895,-0.49908514320039515,-0.3527625895714856,0.665741101598211,-0.4095663625477547,-0.5991879276375118,0.7687159127893815,-0.8523988585162987,-0.18903423961680135,-0.02848537488240715,-0.1104329607589396,-0.11128894538267449,-0.28314298890158857,0.018551087606061976,0.050738705969957255,-0.09484566231480358,2.6998122828294373,-0.24045230936442527,1.5181931632796508,-0.3046178638885712,-0.4156902345978306,-0.22379478639120054,0.20614959704461985,-0.19176961672706969,-0.24594269421759252,-0.15763401273169303,-0.4840273763974296,-0.1424412626011031,-0.3108522509416337,-0.13197389242618604,0.1003339479983844,-0.30800250610421875,-0.24827091297683992,-0.2647037884655976,-0.3117988782649804,-0.020021931044574427,-0.13740756378781588,-0.6035275028738848,-0.21476389735265594,-0.21436979056223057,-0.2304654673070044,-0.32719046385456074,-0.2706270104939599,-0.029491711787863195,-0.06608225248982921,-0.29014690744759375,-0.6231341012872466,-0.6035892311604057,-0.5659528201986265,-0.03539560991281159
2010,Algeria,0.6677226285823754,-0.3867873790329431,0.8147952584668475,0.7883624941021875,1.5997707373570091,1.3049953689461224,-1.0146414748980157,0.24066200988695566,0.37552310030942,0.2292877506379895,-0.2711561273997062,-0.2138029757933421,-0.25807693904952755,-0.21720897052886962,-0.2732026774776259,-0.6947226772734448,-0.2563698078927173,0.9264262156327947,-0.5321268901216958,-0.4383108297431335,0.07144634895105262,0.11055964522371838,-0.45606921672765366,0.49840011488102015,-0.047034774523948414,-0.1409215816242318,-0.18741257540547895,-0.9787265112802629,0.9200471399660514,-0.4741270624412875,-0.4095663625477547,-0.1213910930277333,0.03216897665564212,-0.45583228370132434,-0.18903423961680135,-0.028492004005147318,-0.10308442538511303,-0.11115444597655942,-0.5315704155518882,-0.3463595631175569,-0.32168631987778445,-0.13507748314591364,-0.5067020935034562,0.23708309240119863,0.6540915906695716,-0.3046178638885712,-0.4156902345978306,-0.14285691203452924,-0.47560747617667737,-0.19176961672706969,-0.24594269421759252,-0.15763401273169303,-0.4840273763974296,-0.1424412626011031,-0.3108522509416337,-0.15289765679681014,-0.33826596630908645,-0.266359609836326,-0.0027495235938861913,-0.4121120243802896,0.09337086080510013,-0.020021931044574427,-0.13740756378781588,-0.5696622650366955,-0.21339035032569353,-0.30791313961522776,-0.12756027986070695,-0.21579174269154922,-0.22765393788702257,-0.029451339604666837,-0.06632099401276997,-0.019191263005008757,-0.20731830590984915,-0.16567771526958128,-0.8775705854502619,0.1149695977140148
2010,Angola,-1.4122914516500844,0.16482125501650358,-0.791961763023092,-0.29136085266532036,0.1729380927845658,1.3049953689461224,-1.0702460605301578,0.9520657176855891,-0.5502228345406965,-0.39831148527364313,-0.2660093482980525,-0.25554647470921044,-0.27227487680360923,-0.24188585719089611,-0.24135372274118397,0.941120288748332,-0.5917450712874722,0.04270518508044025,-0.9955393188669771,-0.6508705144825201,0.030567259238636235,-1.3497614617007112,-0.6652780070150042,-0.9768370374328361,-2.6126703683321395,0.4848003952686015,-0.18741257540547895,-1.1743697105709936,0.30641871101599066,-0.8977232634420598,1.8770619380268643,1.7331084853729324,-1.956507750905454,-1.371502854119383,-0.18903423961680135,-0.028100038586202098,-0.09779197413396469,-0.0961343493351441,-0.5142027530627645,-0.3409926234884129,-0.31681833110180024,-0.08021236383061532,-0.0038839309622292224,-0.30005354530235745,-0.9795004328752626,-0.3046178638885712,-0.4156902345978306,-0.16198056082979015,-0.33336913874054286,-0.19176961672706969,-0.24594269421759252,-0.15763401273169303,-0.4840273763974296,-0.1424412626011031,-0.3108522509416337,-0.1559790511291638,-0.342390272624723,-1.035729330397602,-0.10862206489705777,0.8278513718432966,-0.2486374183085274,-0.020021931044574427,0.5899955162102547,-0.6035275028738848,-0.34734157366309115,-0.39519512855083855,-0.30370881241914377,-0.29436782726836125,-0.24855761145506727,-0.02898046409690286,-0.0635941641261863,-0.24790793341731673,0.9432952648604834,2.9193529812124894,0.4011368950423851,0.030167670853767585
2010,Antigua and Barbuda,0.45095654878709746,-0.2864948982467686,-0.5624250456673809,-0.9784575278810071,-0.5404782295016558,-0.6347253740010322,-0.08219534660516839,-0.9682593236270628,-0.20502943510505983,0.7681137921606833,-0.28835617104082756,-0.28521855188780504,-0.31280215315748755,-0.28685782214468725,-0.2768464974751774,-0.6947226772734448,0.3183573962199428,0.04270518508044025,0.5825485898343455,-0.06223772776200616,-0.007011034410044681,0.6492558757780633,-0.7848258871792064,0.6810814594769253,0.6777574764693274,1.1688190333012842,-0.18741257540547895,-0.0033155159633658556,-0.3673377785027071,0.8307471745324541,-0.4095663625477547,-0.4858124075606152,0.8423706064027553,1.54152014387207,-0.18903423961680135,-0.028496023758774622,-0.10750732744107809,-0.11131696609228181,-0.5016476656833424,-0.14943814971681288,-0.1176461126142433,-0.13507748314591364,-0.5067020935034562,-0.29988643519099983,-0.7589464545279411,-0.30360351346574693,0.08618338137518432,-0.24017549050565648,-0.9970755011628911,-0.18732172037266978,2.306058467457102,-0.15541265186057113,2.7974997432320845,-0.14031445911777077,2.779757861046376,-0.1559790511291638,-0.342390272624723,-0.2725036877375294,-0.26847694059527705,1.322102515792558,-0.3002339219104334,-0.020021931044574427,-0.13740756378781588,-0.6035275028738848,-0.5898820214727793,-0.5782827827862396,-0.5958382064260285,-0.31875387621420553,-0.2710077746556832,-0.02948209908160161,-0.04030761523722321,-0.28207299554041515,-0.7125629780989284,-0.6906101232184395,-0.18986234407041302,-0.04425551271910607
2010,Argentina,0.6255500559243747,-0.3115680170422425,0.12618510639973676,0.6902058262142322,-0.5404782295016558,0.011848206981352635,-1.027473302351587,-0.16851136453317395,-0.20502943510505983,0.5436755257908351,-0.2879284980209949,-0.28152306881255207,-0.3112236740253554,-0.28649478992685146,-0.2767781093300443,-0.146445639211201,0.033552084423015556,-0.03315210677865039,-0.040492464046864275,-0.027871228084103316,-0.0026946087882367383,0.6881977719627156,-0.1571995163171724,0.7775921451547493,0.6777574764693274,0.9446992976457359,-0.18741257540547895,-0.34998180413718516,1.1119411796966547,0.7344905314565966,-0.4095663625477547,-0.48986153327764725,0.6214065255626335,0.5279110596124352,-1.0979692437659618,-0.02838950659809626,-0.09963256648729968,-0.0945045403278958,-0.5579075162285276,-0.3721202299056969,-0.3460308483460186,-0.13507748314591364,-0.5067020935034562,-0.10959305332791452,-0.45035871672361405,-0.2462792769286365,-0.35493031528731056,-0.013992319562307029,0.11071679263954391,-0.19176961672706969,-0.24594269421759252,-0.15763401273169303,-0.4840273763974296,-0.1424412626011031,-0.3108522509416337,-0.1559790511291638,-0.342390272624723,1.101029512176431,0.030618419403271202,-0.6635731327053526,-0.2981879799110257,-0.020021931044574427,-0.13735183262937287,-0.6035275028738848,-0.46482846560207636,-0.45054189571985276,-0.48090927010778173,-0.3234470537575418,-0.2697250451895224,-0.029275658770948672,-0.06586562279027533,-0.2810446735458155,-0.5490847130693539,-0.5586752439456412,-1.0280067656538985,-0.02602942694615742
2010,Armenia,0.6822581259509595,-0.3617142583693762,0.35572182375544065,-0.09504751688940985,1.5997707373570091,-0.6347253740010322,-1.027473302351587,2.2307325127484936,0.9246944175933874,-0.20215886975642655,-0.28607630646595367,-0.28400971377933654,-0.31218222562234016,-0.2864412058915288,-0.2768464974751774,-0.42507823232480035,-0.5124425631304689,0.07801855252511466,-0.07326851413323565,-0.5722761672085497,-0.0016789792301642812,0.24036596583922337,-0.21697345639926516,0.6155919059630435,0.6392730404334344,-1.0710835447439526,-0.40959669934988197,-1.1179206864905302,-0.35217871701786096,0.8554133260160635,-0.4095663625477547,-0.5627457961842236,0.4740971383358857,-1.100539217097096,-0.18903423961680135,-0.028496023758774622,-0.1104329607589396,-0.11131696609228181,-0.2021659472619277,-0.027662301453106553,0.006938088294488099,-0.13134344043659427,-0.22204513034503298,-0.236705340556672,1.5597014664832234,-0.18755291785399622,1.343383219684487,-0.22550507841830061,0.03288450684792209,-0.19176961672706969,-0.24594269421759252,-0.15763401273169303,-0.4840273763974296,-0.1424412626011031,-0.3108522509416337,-0.1559790511291638,-0.342390272624723,1.4334900612510137,-0.24770387317654277,-0.5421781148932532,-0.2965641480504431,-0.020021931044574427,-0.13735183262937287,-0.4087620546457887,-0.252627605219806,-0.33579218831307966,-0.1766827371035847,-0.31305290303892896,-0.20629889096843718,-0.029502448441318444,-0.06648217391657875,-0.2799587424758882,-0.3155443348436923,-0.42954747381517516,-0.82384340751368,-0.03412990951191238
2010,Australia,0.6908727446004189,-0.3867873790329431,0.5852585411111438,0.5429708243822994,-0.5404782295016558,-0.6347253740010322,-0.7793913049158753,-1.3820823954837842,-0.20502943510505983,1.1690714197303191,-0.28835617104082756,-0.28521855188780504,-0.31280215315748755,-0.28685782214468725,-0.2768464974751774,0.39284325068608805,1.0626778946200757,-1.4491152410687094,1.9049343685521178,1.4706922164497862,-0.0067571270205265665,1.5384291719942724,1.4865838359405426,0.9775075689400344,0.8124532472730265,-0.43370213678510733,-0.18741257540547895,1.1772052168387692,3.7856503833367996,0.38519169001845194,-0.4095663625477547,-0.6923178191292483,0.4740971383358857,0.17218285677725542,-0.18903423961680135,-0.02843835575481365,-0.10822563333888896,-0.1108550602614662,-0.28360196134363747,-0.38215766833578124,-0.35627018070472594,-0.04706983052996527,0.34353386160635774,-0.11153411127543225,-0.021875272178397468,-0.3046178638885712,-0.4156902345978306,-0.15438175886882533,-0.22934771402525608,-0.009561828758158747,0.15642249304994127,-0.11197217971532854,-0.2244077770857568,-0.13384700613633108,-0.26278465283469515,-0.1027752578451685,-0.22345057658820341,-0.43293123559824137,-0.10817706291213719,-0.8109813686200446,-0.1797516280000473,-0.020021931044574427,-0.13740756378781588,-0.52695773019358,-0.3266532812746837,-0.3051252347454426,-0.31694349835958047,-0.254496542502011,-0.22464258891524408,-0.02942869542083775,-0.06610113496688509,-0.1133331334517861,-0.683512832675536,-0.8450020094840334,-1.253661015143811,-0.04298981231820686
2010,Austria,0.6908727446004189,-0.2864948982467686,-0.791961763023092,1.4263808353738967,-0.5404782295016558,-0.6347253740010322,-0.8050549598230179,-1.3867320929203768,-0.4090073529533906,1.2521611389740064,-0.28835617104082756,-0.28521855188780504,-0.31280215315748755,-0.28685782214468725,-0.2768464974751774,-0.6947226772734448,1.2668060027761345,-1.5017750270547032,1.8940387283531415,1.927816597490571,-0.006249312241490338,1.1814617903016338,0.052009273970178085,0.9775075689400344,0.8124532472730265,-1.104766071051204,-0.18741257540547895,1.2192791806165335,-0.32302347355080446,0.38519169001845194,-0.4095663625477547,-0.7044651962803443,-0.3361044914112275,0.8222528872037621,-0.18903423961680135,-0.028496023758774622,-0.11093923339728556,-0.1108550602614662,-0.28360196134363747,-0.38215766833578124,-0.35627018070472594,-0.13507748314591364,-0.5067020935034562,-0.20712602857860488,0.3460486446105747,-0.3046178638885712,-0.4156902345978306,-0.18877931939826204,0.29340264779685826,-0.19176961672706969,-0.24594269421759252,-0.15763401273169303,-0.4840273763974296,-0.1424412626011031,-0.3108522509416337,-0.1559790511291638,-0.342390272624723,1.4997090249816931,-0.2090973365281822,-0.8109813686200446,-0.14452266039340322,-0.020021931044574427,-0.13740756378781588,0.329809516433777,-0.3266532812746837,-0.3051252347454426,-0.31694349835958047,-0.2811989818780258,-0.19605294772811957,-0.029502448441318444,-0.06648217391657875,-0.1782816049762464,-0.6630068487891888,-0.86465188056367,-0.18986234407041302,-0.04374923255874639
2010,Azerbaijan,0.6907425488525695,-0.3867873790329431,1.2738686931782617,0.2975791546624112,0.8863544150707875,1.3049953689461224,-1.0702460605301578,-0.16851136453317395,-0.20502943510505983,0.3349402408131676,-0.2829662410301835,-0.2810720393535571,-0.3084850101627385,-0.27956879217898,-0.2768464974751774,-0.42507823232480035,-0.17081597744583552,0.04270518508044025,-0.6865046264313124,-0.4125829027258325,0.04148527698791515,0.2598369139315491,0.052009273970178085,0.23299540055303178,-0.4062236597858644,-0.9311703719516767,0.42619905697638594,-0.7368021558012439,-0.3228888584898299,0.8664686346611176,-0.4095663625477547,-0.6072861790715759,-0.6307232658647233,-0.5009642939117837,-1.1406119923941573,-0.028488135702206124,-0.1104329607589396,-0.11131696609228181,-0.4809188809934866,-0.28973320041195944,-0.2621658490284174,-0.13507748314591364,-0.5067020935034562,-0.12106016772300755,1.2518443162951662,-0.011878968199957218,0.9523671831801145,-0.1997021800487526,-0.10943884797560847,-0.19176961672706969,-0.24594269421759252,-0.15763401273169303,-0.4840273763974296,-0.1424412626011031,-0.3108522509416337,-0.1559790511291638,-0.342390272624723,1.4997090249816931,-0.2031569976823475,-0.7936392232183161,-0.30502788705851935,-0.020021931044574427,-0.13740756378781588,-0.6035275028738848,-0.3340254606716103,-0.3462125540558833,-0.3293464295459047,0.3686563004152482,0.8040560106166856,-0.029494561092590986,-0.06638328917308614,-0.2856188341268357,0.3452040523313501,0.2076699690976748,-0.37253491814102746,0.17192611575447933
